year,state,quarter,suppression,totalRX
2017,AK,1,F,675
2017,AK,1,T,0
2017,AK,2,F,711
2017,AK,2,T,0
2017,AK,3,F,828
2017,AK,3,T,0
2017,AK,4,F,622
2017,AK,4,T,0
2017,AL,1,F,2821
2017,AL,1,T,0
2017,AL,2,F,2860
2017,AL,2,T,0
2017,AL,3,F,2802
2017,AL,3,T,0
2017,AL,4,F,2883
2017,AL,4,T,0
2017,AR,1,F,1284
2017,AR,1,T,0
2017,AR,2,F,1480
2017,AR,2,T,0
2017,AR,3,F,1607
2017,AR,3,T,0
2017,AR,4,F,1504
2017,AR,4,T,0
2017,AZ,1,F,6930
2017,AZ,1,T,0
2017,AZ,2,F,7410
2017,AZ,2,T,0
2017,AZ,3,F,7416
2017,AZ,3,T,0
2017,AZ,4,F,7082
2017,AZ,4,T,0
2017,CA,1,F,49817
2017,CA,1,T,0
2017,CA,2,F,52827
2017,CA,2,T,0
2017,CA,3,F,52076
2017,CA,3,T,0
2017,CA,4,F,52609
2017,CA,4,T,0
2017,CO,1,F,3529
2017,CO,1,T,0
2017,CO,2,F,3912
2017,CO,2,T,0
2017,CO,3,F,3912
2017,CO,3,T,0
2017,CO,4,F,3667
2017,CO,4,T,0
2017,CT,1,F,2859
2017,CT,1,T,0
2017,CT,2,F,2900
2017,CT,2,T,0
2017,CT,3,F,2924
2017,CT,3,T,0
2017,CT,4,F,2973
2017,CT,4,T,0
2017,DC,1,F,943
2017,DC,1,T,0
2017,DC,2,F,939
2017,DC,2,T,0
2017,DC,3,F,807
2017,DC,3,T,0
2017,DC,4,F,960
2017,DC,4,T,0
2017,DE,1,F,628
2017,DE,1,T,0
2017,DE,2,F,739
2017,DE,2,T,0
2017,DE,3,F,772
2017,DE,3,T,0
2017,DE,4,F,654
2017,DE,4,T,0
2017,FL,1,F,9395
2017,FL,1,T,0
2017,FL,2,F,12261
2017,FL,2,T,0
2017,FL,3,F,10210
2017,FL,3,T,0
2017,FL,4,F,10020
2017,FL,4,T,0
2017,GA,1,F,5762
2017,GA,1,T,0
2017,GA,2,F,6032
2017,GA,2,T,0
2017,GA,3,F,6024
2017,GA,3,T,0
2017,GA,4,F,6058
2017,GA,4,T,0
2017,HI,1,F,5636
2017,HI,1,T,0
2017,HI,2,F,5590
2017,HI,2,T,0
2017,HI,3,F,4698
2017,HI,3,T,0
2017,HI,4,F,4201
2017,HI,4,T,0
2017,IA,1,F,841
2017,IA,1,T,0
2017,IA,2,F,922
2017,IA,2,T,0
2017,IA,3,F,1068
2017,IA,3,T,0
2017,IA,4,F,1199
2017,IA,4,T,0
2017,ID,1,F,672
2017,ID,1,T,0
2017,ID,2,F,650
2017,ID,2,T,0
2017,ID,3,F,707
2017,ID,3,T,0
2017,ID,4,F,704
2017,ID,4,T,0
2017,IL,1,F,19785
2017,IL,1,T,0
2017,IL,2,F,13812
2017,IL,2,T,0
2017,IL,3,F,14555
2017,IL,3,T,0
2017,IL,4,F,14379
2017,IL,4,T,0
2017,IN,1,F,5633
2017,IN,1,T,0
2017,IN,2,F,5862
2017,IN,2,T,0
2017,IN,3,F,6008
2017,IN,3,T,0
2017,IN,4,F,6146
2017,IN,4,T,0
2017,KS,1,F,869
2017,KS,1,T,0
2017,KS,2,F,2099
2017,KS,2,T,0
2017,KS,3,F,738
2017,KS,3,T,0
2017,KS,4,F,801
2017,KS,4,T,0
2017,KY,1,F,11093
2017,KY,1,T,0
2017,KY,2,F,7607
2017,KY,2,T,0
2017,KY,3,F,11652
2017,KY,3,T,0
2017,KY,4,F,11625
2017,KY,4,T,0
2017,LA,1,F,6989
2017,LA,1,T,0
2017,LA,2,F,8373
2017,LA,2,T,0
2017,LA,3,F,8023
2017,LA,3,T,0
2017,LA,4,F,8154
2017,LA,4,T,0
2017,MA,1,F,6521
2017,MA,1,T,0
2017,MA,2,F,7031
2017,MA,2,T,0
2017,MA,3,F,6229
2017,MA,3,T,0
2017,MA,4,F,6269
2017,MA,4,T,0
2017,MD,1,F,5364
2017,MD,1,T,0
2017,MD,2,F,5265
2017,MD,2,T,0
2017,MD,3,F,4848
2017,MD,3,T,0
2017,MD,4,F,5304
2017,MD,4,T,0
2017,ME,1,F,446
2017,ME,1,T,0
2017,ME,2,F,494
2017,ME,2,T,0
2017,ME,3,F,466
2017,ME,3,T,0
2017,ME,4,F,481
2017,ME,4,T,0
2017,MI,1,F,13125
2017,MI,1,T,0
2017,MI,2,F,13566
2017,MI,2,T,0
2017,MI,3,F,13693
2017,MI,3,T,0
2017,MI,4,F,13661
2017,MI,4,T,0
2017,MN,1,F,6878
2017,MN,1,T,0
2017,MN,2,F,7328
2017,MN,2,T,0
2017,MN,3,F,7309
2017,MN,3,T,0
2017,MN,4,F,7296
2017,MN,4,T,0
2017,MO,1,F,3813
2017,MO,1,T,0
2017,MO,2,F,3712
2017,MO,2,T,0
2017,MO,3,F,3922
2017,MO,3,T,0
2017,MO,4,F,3883
2017,MO,4,T,0
2017,MS,1,F,1686
2017,MS,1,T,0
2017,MS,2,F,1815
2017,MS,2,T,0
2017,MS,3,F,1732
2017,MS,3,T,0
2017,MS,4,F,1684
2017,MS,4,T,0
2017,MT,1,F,1052
2017,MT,1,T,0
2017,MT,2,F,1221
2017,MT,2,T,0
2017,MT,3,F,1219
2017,MT,3,T,0
2017,MT,4,F,1317
2017,MT,4,T,0
2017,NC,1,F,5736
2017,NC,1,T,0
