year,gennme,prodnme,state,quarter,suppression,totalRX
2017,Allopurinol,ALLOPURINOL,AK,1,F,602
2017,Allopurinol,ALLOPURINOL,AK,1,T,0
2017,Febuxostat,ULORIC,AK,1,F,73
2017,Allopurinol,ALLOPURINOL,AK,2,F,623
2017,Allopurinol,ALLOPURINOL,AK,2,T,0
2017,Febuxostat,ULORIC,AK,2,F,88
2017,Allopurinol,ALLOPURINOL,AK,3,F,737
2017,Allopurinol,ALLOPURINOL,AK,3,T,0
2017,Febuxostat,ULORIC,AK,3,F,91
2017,Allopurinol,ALLOPURINOL,AK,4,F,542
2017,Allopurinol,ALLOPURINOL,AK,4,T,0
2017,Febuxostat,ULORIC,AK,4,F,80
2017,Allopurinol,ALLOPURINOL,AL,1,F,2352
2017,Allopurinol,ALLOPURINOL,AL,1,T,0
2017,Febuxostat,ULORIC,AL,1,F,469
2017,Allopurinol,ALLOPURINOL,AL,2,F,2385
2017,Allopurinol,ALLOPURINOL,AL,2,T,0
2017,Febuxostat,ULORIC,AL,2,F,475
2017,Allopurinol,ALLOPURINOL,AL,3,F,2368
2017,Allopurinol,ALLOPURINOL,AL,3,T,0
2017,Febuxostat,ULORIC,AL,3,F,434
2017,Allopurinol,ALLOPURINOL,AL,4,F,2424
2017,Allopurinol,ALLOPURINOL,AL,4,T,0
2017,Febuxostat,ULORIC,AL,4,F,459
2017,Allopurinol,ALLOPURINOL,AR,1,F,1284
2017,Allopurinol,ALLOPURINOL,AR,1,T,0
2017,Febuxostat,ULORIC,AR,1,T,0
2017,Allopurinol,ALLOPURINOL,AR,2,F,1480
2017,Allopurinol,ALLOPURINOL,AR,2,T,0
2017,Febuxostat,ULORIC,AR,2,T,0
2017,Allopurinol,ALLOPURINOL,AR,3,F,1607
2017,Allopurinol,ALLOPURINOL,AR,3,T,0
2017,Febuxostat,ULORIC,AR,3,T,0
2017,Allopurinol,ALLOPURINOL,AR,4,F,1504
2017,Allopurinol,ALLOPURINOL,AR,4,T,0
