year,state,quarter,totalRXImputed
2017,AK,1,825
2017,AK,2,861
2017,AK,3,958
2017,AK,4,782
2017,AL,1,2881
2017,AL,2,2940
2017,AL,3,2872
2017,AL,4,2953
2017,AR,1,1444
2017,AR,2,1620
2017,AR,3,1717
2017,AR,4,1624
2017,AZ,1,7120
2017,AZ,2,7600
2017,AZ,3,7616
2017,AZ,4,7322
2017,CA,1,50057
2017,CA,2,53117
2017,CA,3,52366
2017,CA,4,52869
2017,CO,1,3749
2017,CO,2,4062
2017,CO,3,4102
2017,CO,4,3927
2017,CT,1,2939
2017,CT,2,3000
2017,CT,3,3064
2017,CT,4,3083
2017,DC,1,1353
2017,DC,2,1389
2017,DC,3,1257
2017,DC,4,1360
2017,DE,1,848
2017,DE,2,889
2017,DE,3,912
2017,DE,4,864
2017,FL,1,9675
2017,FL,2,12501
2017,FL,3,10510
2017,FL,4,10290
2017,GA,1,6062
2017,GA,2,6342
2017,GA,3,6324
2017,GA,4,6388
2017,HI,1,5736
2017,HI,2,5680
2017,HI,3,4798
2017,HI,4,4321
2017,IA,1,1151
2017,IA,2,1252
2017,IA,3,1338
2017,IA,4,1509
2017,ID,1,792
2017,ID,2,770
2017,ID,3,817
2017,ID,4,844
2017,IL,1,19965
2017,IL,2,13982
2017,IL,3,14735
2017,IL,4,14609
2017,IN,1,5943
2017,IN,2,6132
2017,IN,3,6268
2017,IN,4,6446
2017,KS,1,989
2017,KS,2,2239
2017,KS,3,898
2017,KS,4,951
2017,KY,1,11423
2017,KY,2,8017
2017,KY,3,12002
2017,KY,4,11945
2017,LA,1,7269
2017,LA,2,8613
2017,LA,3,8273
2017,LA,4,8404
2017,MA,1,6721
2017,MA,2,7231
2017,MA,3,6509
2017,MA,4,6529
2017,MD,1,5604
2017,MD,2,5565
2017,MD,3,5138
2017,MD,4,5624
2017,ME,1,556
2017,ME,2,604
2017,ME,3,576
2017,ME,4,621
2017,MI,1,13375
2017,MI,2,13766
2017,MI,3,13893
2017,MI,4,13891
2017,MN,1,7088
2017,MN,2,7528
2017,MN,3,7549
2017,MN,4,7546
2017,MO,1,4013
2017,MO,2,3882
2017,MO,3,4112
2017,MO,4,4123
2017,MS,1,2056
2017,MS,2,2175
2017,MS,3,2102
2017,MS,4,2054
2017,MT,1,1192
2017,MT,2,1351
2017,MT,3,1379
2017,MT,4,1467
2017,NC,1,5846
2017,NC,2,5040
2017,NC,3,5796
2017,NC,4,4889
2017,ND,1,502
2017,ND,2,582
2017,ND,3,530
2017,ND,4,522
2017,NE,1,937
2017,NE,2,793
2017,NE,3,866
2017,NE,4,826
2017,NH,1,452
2017,NH,2,482
2017,NH,3,463
2017,NH,4,465
2017,NJ,1,6874
2017,NJ,2,7121
2017,NJ,3,7527
2017,NJ,4,7299
2017,NM,1,2807
2017,NM,2,2902
2017,NM,3,2789
2017,NM,4,2564
2017,NV,1,4205
2017,NV,2,4021
2017,NV,3,4062
2017,NV,4,3905
2017,NY,1,25601
2017,NY,2,26878
2017,NY,3,28214
2017,NY,4,27612
2017,OH,1,21422
2017,OH,2,25676
2017,OH,3,19776
2017,OH,4,19717
2017,OK,1,1320
2017,OK,2,1345
2017,OK,3,1316
2017,OK,4,1275
2017,OR,1,5323
2017,OR,2,7390
2017,OR,3,5210
2017,OR,4,5092
2017,PA,1,11271
2017,PA,2,16748
2017,PA,3,12315
2017,PA,4,12220
2017,RI,1,1411
2017,RI,2,1461
2017,RI,3,1557
2017,RI,4,1555
2017,SC,1,2272
2017,SC,2,2347
2017,SC,3,2551
2017,SC,4,2534
2017,SD,1,326
2017,SD,2,359
2017,SD,3,333
2017,SD,4,298
2017,TN,1,4364
2017,TN,2,4337
2017,TN,3,4343
2017,TN,4,4445
2017,TX,1,8296
2017,TX,2,8573
2017,TX,3,8754
2017,TX,4,8801
2017,UT,1,889
2017,UT,2,916
2017,UT,3,943
2017,UT,4,932
2017,VA,1,4116
2017,VA,2,4186
2017,VA,3,4426
2017,VA,4,4485
2017,VT,1,540
2017,VT,2,493
2017,VT,3,509
2017,VT,4,493
2017,WA,1,7042
2017,WA,2,6861
2017,WA,3,8995
2017,WA,4,6872
2017,WI,1,5015
2017,WI,2,4996
2017,WI,3,4949
2017,WI,4,4861
2017,WV,1,4953
2017,WV,2,4993
2017,WV,3,3227
2017,WV,4,4888
2017,WY,1,208
2017,WY,2,225
2017,WY,3,215
2017,WY,4,203
2018,AK,1,823
2018,AK,2,609
2018,AK,3,1097
2018,AK,4,798
2018,AL,1,2962
2018,AL,2,2920
2018,AL,3,2936
2018,AL,4,2998
2018,AR,1,1574
2018,AR,2,1539
2018,AR,3,1692
2018,AR,4,1840
2018,AZ,1,7102
2018,AZ,2,7080
2018,AZ,3,7076
2018,AZ,4,6773
2018,CA,1,51881
2018,CA,2,52348
2018,CA,3,52710
2018,CA,4,52601
2018,CO,1,3638
2018,CO,2,3854
2018,CO,3,3697
2018,CO,4,3779
2018,CT,1,3249
2018,CT,2,3134
2018,CT,3,3127
2018,CT,4,3060
2018,DC,1,1307
2018,DC,2,1355
2018,DC,3,1238
2018,DC,4,1263
2018,DE,1,831
2018,DE,2,877
2018,DE,3,895
2018,DE,4,898
2018,FL,1,10218
2018,FL,2,10016
2018,FL,3,9924
2018,FL,4,9732
2018,GA,1,6428
2018,GA,2,6583
2018,GA,3,6373
2018,GA,4,6398
2018,HI,1,4912
2018,HI,2,5175
2018,HI,3,4820
2018,HI,4,4210
2018,IA,1,1408
2018,IA,2,1436
2018,IA,3,1513
2018,IA,4,1528
2018,ID,1,834
2018,ID,2,830
2018,ID,3,868
2018,ID,4,887
2018,IL,1,14173
2018,IL,2,14224
2018,IL,3,14631
2018,IL,4,14655
2018,IN,1,6082
2018,IN,2,6244
2018,IN,3,6153
2018,IN,4,6028
2018,KS,1,1015
2018,KS,2,959
2018,KS,3,988
2018,KS,4,1055
2018,KY,1,11915
2018,KY,2,12065
