year,gennme,state,quarter,totalRXImputed
2017,Allopurinol,AK,1,602
2017,Febuxostat,AK,1,73
2017,Allopurinol,AK,2,623
2017,Febuxostat,AK,2,88
2017,Allopurinol,AK,3,737
2017,Febuxostat,AK,3,91
2017,Allopurinol,AK,4,542
2017,Febuxostat,AK,4,80
2017,Allopurinol,AL,1,2352
2017,Febuxostat,AL,1,469
2017,Allopurinol,AL,2,2385
2017,Febuxostat,AL,2,475
2017,Allopurinol,AL,3,2368
2017,Febuxostat,AL,3,434
2017,Allopurinol,AL,4,2424
2017,Febuxostat,AL,4,459
2017,Allopurinol,AR,1,1284
2017,Febuxostat,AR,1,0
2017,Allopurinol,AR,2,1480
2017,Febuxostat,AR,2,0
2017,Allopurinol,AR,3,1607
2017,Febuxostat,AR,3,0
2017,Allopurinol,AR,4,1504
2017,Febuxostat,AR,4,0
2017,Allopurinol,AZ,1,6510
2017,Febuxostat,AZ,1,420
2017,Allopurinol,AZ,2,6943
2017,Febuxostat,AZ,2,467
2017,Allopurinol,AZ,3,6991
2017,Febuxostat,AZ,3,425
2017,Allopurinol,AZ,4,6653
2017,Febuxostat,AZ,4,429
2017,Allopurinol,CA,1,47216
2017,Febuxostat,CA,1,2601
2017,Allopurinol,CA,2,49991
2017,Febuxostat,CA,2,2836
2017,Allopurinol,CA,3,49254
2017,Febuxostat,CA,3,2822
2017,Allopurinol,CA,4,49748
2017,Febuxostat,CA,4,2861
2017,Allopurinol,CO,1,3277
2017,Febuxostat,CO,1,252
2017,Allopurinol,CO,2,3583
2017,Febuxostat,CO,2,329
2017,Allopurinol,CO,3,3567
2017,Febuxostat,CO,3,345
2017,Allopurinol,CO,4,3360
2017,Febuxostat,CO,4,307
2017,Allopurinol,CT,1,2616
2017,Febuxostat,CT,1,243
2017,Allopurinol,CT,2,2629
2017,Febuxostat,CT,2,271
2017,Allopurinol,CT,3,2652
2017,Febuxostat,CT,3,272
2017,Allopurinol,CT,4,2730
2017,Febuxostat,CT,4,243
2017,Allopurinol,DC,1,943
2017,Febuxostat,DC,1,0
2017,Allopurinol,DC,2,939
2017,Febuxostat,DC,2,0
2017,Allopurinol,DC,3,790
2017,Febuxostat,DC,3,17
2017,Allopurinol,DC,4,941
2017,Febuxostat,DC,4,19
2017,Allopurinol,DE,1,608
2017,Febuxostat,DE,1,20
2017,Allopurinol,DE,2,717
2017,Febuxostat,DE,2,22
2017,Allopurinol,DE,3,745
2017,Febuxostat,DE,3,27
2017,Allopurinol,DE,4,628
2017,Febuxostat,DE,4,26
2017,Allopurinol,FL,1,9198
2017,Febuxostat,FL,1,197
2017,Allopurinol,FL,2,12020
2017,Febuxostat,FL,2,241
2017,Allopurinol,FL,3,9989
2017,Febuxostat,FL,3,221
2017,Allopurinol,FL,4,9809
2017,Febuxostat,FL,4,211
2017,Allopurinol,GA,1,5593
2017,Febuxostat,GA,1,169
2017,Allopurinol,GA,2,5844
2017,Febuxostat,GA,2,188
2017,Allopurinol,GA,3,5829
2017,Febuxostat,GA,3,195
2017,Allopurinol,GA,4,5871
2017,Febuxostat,GA,4,187
2017,Allopurinol,HI,1,5268
2017,Febuxostat,HI,1,368
2017,Allopurinol,HI,2,5214
2017,Febuxostat,HI,2,376
2017,Allopurinol,HI,3,4404
2017,Febuxostat,HI,3,294
2017,Allopurinol,HI,4,3944
2017,Febuxostat,HI,4,257
2017,Allopurinol,IA,1,828
2017,Febuxostat,IA,1,13
2017,Allopurinol,IA,2,904
2017,Febuxostat,IA,2,18
2017,Allopurinol,IA,3,1044
2017,Febuxostat,IA,3,24
2017,Allopurinol,IA,4,1173
2017,Febuxostat,IA,4,26
2017,Allopurinol,ID,1,672
2017,Febuxostat,ID,1,0
2017,Allopurinol,ID,2,634
2017,Febuxostat,ID,2,16
2017,Allopurinol,ID,3,691
2017,Febuxostat,ID,3,16
2017,Allopurinol,ID,4,686
2017,Febuxostat,ID,4,18
2017,Allopurinol,IL,1,19410
2017,Febuxostat,IL,1,375
2017,Allopurinol,IL,2,13551
2017,Febuxostat,IL,2,261
2017,Allopurinol,IL,3,14283
2017,Febuxostat,IL,3,272
2017,Allopurinol,IL,4,14086
2017,Febuxostat,IL,4,293
2017,Allopurinol,IN,1,5260
2017,Febuxostat,IN,1,373
2017,Allopurinol,IN,2,5474
2017,Febuxostat,IN,2,388
2017,Allopurinol,IN,3,5678
2017,Febuxostat,IN,3,330
2017,Allopurinol,IN,4,5794
2017,Febuxostat,IN,4,352
2017,Allopurinol,KS,1,826
2017,Febuxostat,KS,1,43
2017,Allopurinol,KS,2,1973
2017,Febuxostat,KS,2,126
2017,Allopurinol,KS,3,700
2017,Febuxostat,KS,3,38
2017,Allopurinol,KS,4,744
2017,Febuxostat,KS,4,57
2017,Allopurinol,KY,1,10319
2017,Febuxostat,KY,1,774
